method,filter,selectivity,recall_at_10,mean_latency_ms,p50_latency_ms,p95_latency_ms,qps,index_build_time_s,fetch_k,effective_ef
hnsw_overfetch_post_filter,sel25_label_eq_3,25.367,0.4210000000000001,0.8894380100014132,0.20091750002393383,6.271274599947674,1124.3054476594846,1.1230101585388184,25,100
hnsw_overfetch_post_filter,sel10_label0_tag_lt_0.4,9.733,0.22500000000000003,1.1089379400061716,0.18725400002495007,7.310913900039393,901.7637181702294,1.1230101585388184,25,100
hnsw_overfetch_post_filter,sel5_label0_tag_lt_0.2,5.2,0.113,0.7899143299994194,0.18469599996251418,6.211709799970322,1265.9600693669338,1.1230101585388184,25,100
hnsw_overfetch_post_filter,sel100_unfiltered,100.0,0.9980000000000001,0.836875820007208,0.18489500001805936,8.191626849975364,1194.9204124351295,1.1230101585388184,50,100
hnsw_overfetch_post_filter,sel75_label_ne_3,74.633,0.9480000000000003,1.3606908199903955,0.19628699999429955,10.282861749936956,734.9208103035916,1.1230101585388184,50,100
hnsw_overfetch_post_filter,sel50_label_in_01,51.167,0.698,1.3470684199933203,0.19987199993920512,11.087711050043936,742.3527900720578,1.1230101585388184,50,100
hnsw_overfetch_post_filter,sel25_label_eq_0,25.6,0.48800000000000027,0.8732757500024491,0.1995675000330266,5.332702599940828,1145.1136711367462,1.1230101585388184,50,100
hnsw_overfetch_post_filter,sel25_label_eq_1,25.567,0.35700000000000004,1.220389800000703,0.22161200001846737,7.204637699953763,819.4103228324458,1.1230101585388184,50,100
hnsw_overfetch_post_filter,sel25_label_eq_2,23.467,0.5640000000000002,0.8286367299888298,0.21082299997488008,4.246680550045308,1206.8014412219939,1.1230101585388184,50,100
hnsw_overfetch_post_filter,sel25_label_eq_3,25.367,0.5429999999999999,0.6219605199976286,0.18682099999978163,4.193044649974809,1607.8190943756572,1.1230101585388184,50,100
hnsw_overfetch_post_filter,sel10_label0_tag_lt_0.4,9.733,0.35000000000000014,0.635955970002442,0.1938094999900386,4.264280900025597,1572.4359030644214,1.1230101585388184,50,100
hnsw_overfetch_post_filter,sel5_label0_tag_lt_0.2,5.2,0.22700000000000006,0.44248337999306386,0.20599099997298254,2.2438967000027787,2259.9718886970977,1.1230101585388184,50,100
hnsw_overfetch_post_filter,sel100_unfiltered,100.0,0.9980000000000001,0.7120492799981548,0.20245199999635588,3.2727777499928803,1404.3971788056458,1.1230101585388184,100,100
hnsw_overfetch_post_filter,sel75_label_ne_3,74.633,0.9910000000000001,0.5275099300024522,0.19568250002066634,2.231301449995726,1895.6989112894075,1.1230101585388184,100,100
hnsw_overfetch_post_filter,sel50_label_in_01,51.167,0.7810000000000002,0.7765899400089893,0.19602049997047288,4.668461550016896,1287.6808576588369,1.1230101585388184,100,100
hnsw_overfetch_post_filter,sel25_label_eq_0,25.6,0.633,0.973397120003483,0.21067300002641787,8.315223050033183,1027.3299349770234,1.1230101585388184,100,100
hnsw_overfetch_post_filter,sel25_label_eq_1,25.567,0.4860000000000001,0.5940976199940451,0.2116004999948018,3.087217900019822,1683.2250565319946,1.1230101585388184,100,100
hnsw_overfetch_post_filter,sel25_label_eq_2,23.467,0.7130000000000001,0.5390204499985884,0.19830050001701238,3.2195678500613667,1855.2171814680105,1.1230101585388184,100,100
hnsw_overfetch_post_filter,sel25_label_eq_3,25.367,0.6760000000000003,0.9085729399919273,0.21154050000404823,4.299121650007007,1100.6270999099809,1.1230101585388184,100,100
hnsw_overfetch_post_filter,sel10_label0_tag_lt_0.4,9.733,0.4750000000000003,0.8538279399920157,0.20278799996731323,5.18759180000643,1171.1961545898243,1.1230101585388184,100,100
hnsw_overfetch_post_filter,sel5_label0_tag_lt_0.2,5.2,0.349,0.4722399500076335,0.19406000001254142,2.2540914999808592,2117.5675628117347,1.1230101585388184,100,100
hnsw_overfetch_post_filter,sel100_unfiltered,100.0,1.0,0.923104380009363,0.39202350001232844,3.529251450021318,1083.3011105308124,1.1230101585388184,250,250
hnsw_overfetch_post_filter,sel75_label_ne_3,74.633,1.0,0.5371475800041026,0.3841215000193188,2.3913967001021774,1861.6857586742965,1.1230101585388184,250,250
